folder_name,pdf_name,coordinates
file3,JSWRenewEnergy(KAR)Ltd-224-4MW.pdf,14.709972N; 76.511333E; 76.657975E; 14.713944N; 76.516444E; 76.533556E; 14.719639N; 76.543417E; 14.701833N; 76.542417E; 14.706250N; 76.560833E; 14.698222N; 14.698083N; 76.575861E; 14.690472N; 14.677472N; 76.568361E; 14.697167N; 14.711722N; 76.584167E; 14.707417N; 14.693667N; 14.686583N; 76.594167E; 14.673500N; 76.580250E; 14.667833N; 76.585222E; 14.700750N; 14.718056N; 14.710083N; 14.743861N; 76.611889E; 14.743083N; 14.719028N; 76.629639E; 14.714528N; 76.630750E; 76.647306E; -14.718056S; 76.663278E; 14.707111N; 76.659917E; 14.723972N; 76.687417E; 14.664950N; 14.740833N; 76.307722E; 14.792389N; 76.320056E; 14.781306N; 76.314083E; 14.823778N; 76.350306E; 14.874194N; 76.334722E; 14.817000N; 76.324694E; 14.819306N; 76.307917E; 14.799833N; 76.335361E; 14.852667N; 76.325472E; 14.750889N; 76.286139E; 14.829778N; 76.262750E; 14.805556N; 76.299556E; 14.878111N; 76.321889E; 14.780778N; 76.289528E; 14.858306N; 76.261694E; 14.767833N; 76.320806E; 14.788139N; 76.328389E; 14.602806N; 76.648917E; 14.589972N; 76.658444E; 14.767597N; 76.377633E; 14.749944N; 76.302778E; 14.632917N; 76.610972E; 14.848306N; 76.256083E; 14.867083N; 76.328778E; 14.693083N; 76.611889E; 14.713583N; 76.543833E; 14.707833N; 76.635028E; 14.607972N; 76.653611E; 14.594972N; 76.645667E; 14.747583N; 76.671667E; 14.709972N; 76.511333E; 14.613011N; 76.657975E; 14.713944N; 76.516444E; 14.667389N; 76.533556E; 14.719639N; 76.543417E; 14.701833N; 76.542417E; 14.706250N; 76.560833E; 14.698222N; 76.534083E; 14.698083N; 76.575861E; 14.690472N; 76.585972E; 76.568361E; 14.697167N; 14.713083N; 76.569778E; 14.711722N; 76.584167E; 14.707417N; 76.584778E; 14.693667N; 76.578472E; 14.673500N; 76.580250E; 14.667833N; 76.585222E; 14.700750N; 76.589222E; 14.710083N; 76.624028E; 14.701444N; 76.606139E; 14.743861N; 76.611889E; 14.743083N; 76.632306E; 14.719028N; 76.629639E; 14.714528N; 76.630750E; 14.706111N; 76.598444E; 14.704389N; 76.647306E; 14.722028N; 76.648917E; 14.730444N; 76.661472E; 14.725861N; 76.657389E; 14.718083N; 76.663278E; 14.707111N; 76.659917E; 14.723972N; 76.687417E; 14.664950N; 76.565950E; 14.740833N; 76.307722E; 14.792389N; 76.320056E; 14.781306N; 76.314083E; 14.823778N; 76.350306E; 14.874194N; 14.817000N; 76.324694E; 14.819306N; 76.307917E; 14.799833N; 76.335361E; 14.829778N; 76.262750E; 14.805556N; 76.299556E; 14.780778N; 76.289528E; 14.755972N; 76.281222E; 14.858306N; 76.261694E; 14.767833N; 76.320806E; 14.788139N; 76.328389E; 14.602806N; 76.648917E; 14.589972N; 76.658444E; 14.767597N; 76.377633E; 14.749944N; 76.302778E; 14.632917N; 76.610972E; 14.848306N; 76.256083E; 14.867083N; 76.328778E; 14.693083N; 76.611889E; 14.713583N; 76.543833E; 14.707833N; 76.635028E; 14.607972N; 76.653611E; 14.594972N; 76.645667E; 14.747583N; 76.671667E
file3,JswRenewEnergyFourLimited445-5MW.pdf,14.630070N; 76.278864E; 76.275699E; 14.607967N; 76.275719E; 14.624547N; 76.272222E; 14.557269N; 76.301098E; 14.561147N; 76.297780E; 14.550728N; 76.303640E; 14.611844N; 14.634683N; 76.288073E; 14.630766N; 76.290278E; 14.624318N; 76.285905E; 14.624711N; 76.306173E; 14.608055N; 76.287676E; 14.603747N; 76.290315E; 14.596370N; 76.300251E; 14.568962N; 76.298633E; 76.313972E; 14.637138N; 76.298559E; 14.655176N; 76.309195E; 14.641938N; 76.298532E; 14.637000N; 76.311956E; 14.630289N; 76.307822E; 14.624745N; 76.330552E; 14.619853N; 76.329251E; 14.615629N; 76.339335E; 14.621828N; 76.315755E; 14.618554N; 76.306415E; 14.610929N; 76.307364E; 14.606105N; 76.316358E; 76.343925E; 14.628777N; 76.330474E; 14.639557N; 76.332795E; 76.342138E; 14.634813N; 76.330891E; 14.619827N; 76.341792E; 14.655582N; 76.289885E; 14.648871N; 76.287218E; 14.656892N; 76.100046E; 14.579352N; 76.057592E; 14.565773N; 76.069585E; 14.646076N; 76.095006E; 14.576252N; 14.530859N; 76.057881E; 14.578906N; 76.072089E; 14.560480N; 76.080567E; 14.571486N; 14.556883N; 14.620753N; 14.612909N; 76.111961E; 14.608041N; 76.105336E; 14.602994N; 76.107928E; 14.598135N; 76.112629E; 14.562972N; 76.096674E; 14.645556N; 76.109376E; 14.550063N; 76.088842E; 14.526907N; 76.103400E; 14.648854N; 76.128548E; 14.638846N; 76.123093E; 14.635542N; 76.108871E; 14.614652N; 76.131214E; 14.592084N; 76.132055E; 14.602748N; 76.140149E; 14.565166N; 14.552624N; 76.117013E; 14.631804N; 76.136121E; 14.585463N; 76.132196E; 14.592090N; 14.537189N; 76.138429E; 14.533004N; 76.144022E; 14.503295N; 76.184725E; 14.546680N; 14.467204N; 76.196139E; 14.517233N; 76.216980E; 14.507204N; 76.215802E; 76.212781E; 14.519135N; 76.231689E; 14.511398N; 76.221096E; 14.502578N; 76.236199E; 14.492786N; 76.234939E; 14.583997N; 76.173385E; 14.577534N; 14.489220N; 76.247639E; 14.473230N; 76.252439E; 14.549631N; 76.178020E; 14.467863N; 76.252075E; 14.487630N; 76.272699E; 14.481919N; 76.262258E; 14.459288N; 76.259708E; 14.454355N; 76.262575E; 14.495584N; 76.277848E; 14.482114N; 14.440664N; 76.263592E; 14.627344N; 76.062195E; 14.630343N; 76.101482E; 14.493108N; 76.304054E; 14.453999N; 76.298139E; 14.448191N; 76.318587E; 14.470147N; 76.317084E; 14.462555N; 76.316844E; 14.454344N; 76.328651E; 14.443015N; 76.322731E; 14.410541N; 76.313710E; 14.470894N; 76.335290E; 76.350839E; 14.450693N; 76.341366E; 14.363917N; 14.359583N; 76.345167E; 14.351083N; 14.346889N; 14.313722N; 14.332167N; 14.336944N; 14.349000N; 14.325806N; 14.225139N; 14.222500N; 14.321250N; 14.216222N; 76.483306E; 76.341806E; 76.343972E; 76.341278E; 76.363167E; 76.375639E; 76.379111E; 14.343389N; 76.377472E; 76.371139E; 76.368889E; 76.390361E; 76.476528E; 76.486444E; 76.391361E; 14.218889N; 14.209861N; 14.204139N; 14.199917N; 14.178750N; 14.176694N; 76.498778E; 76.501250E; 76.502250E; 76.498639E; 76.499556E; 76.489667E; 76.482306E; 76.488389E; 76.488917E; 76.492861E; 14.630070N; 76.278864E; 14.620596N; 76.275699E; 14.607967N; 76.275719E; 14.624547N; 76.272222E; 14.557269N; 76.301098E; 14.561147N; 76.297780E; 76.303640E; 14.611844N; 76.327662E; 14.634683N; 76.288073E; 14.630766N; 76.290278E; 14.624318N; 76.285905E; 14.624711N; 76.306173E; 14.608055N; 76.287676E; 76.290315E; 14.603747N; 14.596370N; 76.300251E; 14.568962N; 76.298633E; 14.579525N; 76.313972E; 14.637138N; 76.298559E; 14.655176N; 76.309195E; 14.641938N; 76.298532E; 14.637000N; 76.311956E; 14.630289N; 76.307822E; 14.624745N; 76.330552E; 14.619853N; 76.329251E; 76.339335E; 14.621828N; 76.315755E; 14.618554N; 76.306415E; 14.610929N; 76.307364E; 14.606105N; 76.316358E; 14.631602N; 14.628777N; 76.330474E; 14.639557N; 76.332795E; 14.626333N; 76.342138E; 14.634813N; 76.330891E; 14.619827N; 76.341792E; 14.655582N; 76.289885E; 14.530859N; 76.057881E; 14.578906N; 14.560480N; 76.080567E; 14.571486N; 76.153354E; 14.556883N; 76.072373E; 14.620753N; 76.087861E; 14.612909N; 76.111961E; 14.608041N; 76.105336E; 14.602994N; 76.107928E; 14.562972N; 76.096674E; 14.550063N; 76.088842E; 14.526907N; 76.103400E; 76.128548E; 14.638846N; 14.635542N; 76.108871E; 14.614652N; 76.131214E; 14.592084N; 76.132055E; 14.602748N; 76.140149E; 14.552624N; 76.117013E; 14.631804N; 76.136121E; 14.585463N; 76.160435E; 14.586876N; 76.132196E; 14.592090N; 76.165826E; 14.537189N; 76.138429E; 14.533004N; 76.144022E; 14.503295N; 76.184725E; 14.467204N; 76.196139E; 14.507204N; 14.502745N; 76.212781E; 14.519135N; 76.231689E; 14.511398N; 76.221096E; 14.502578N; 14.492786N; 76.234939E; 14.583997N; 14.577534N; 76.180609E; 14.489220N; 14.473230N; 76.252439E; 14.549631N; 76.178020E; 14.467863N; 76.252075E; 14.487630N; 76.272699E; 14.481919N; 76.262258E; 14.459288N; 76.259708E; 14.454355N; 76.262575E; 14.495584N; 76.277848E; 14.482114N; 76.292940E; 14.440664N; 76.263592E; 14.627344N; 76.062195E; 14.630343N; 76.101482E; 14.453999N; 76.298139E; 14.448191N; 76.318587E; 14.470147N; 76.317084E; 14.462555N; 76.316844E; 14.493108N; 14.454344N; 76.328651E; 14.443015N; 76.322731E; 14.410541N; 76.313710E; 76.335290E; 14.458756N; 76.350839E; 14.450693N; 76.341366E; 14.363917N; 76.341806E; 14.359583N; 76.345167E; 14.351083N; 76.343972E; 14.346889N; 76.341278E; 14.313722N; 76.363167E; 76.375639E; 14.336944N; 76.379111E; 14.343389N; 76.377472E; 14.349000N; 76.371139E; 14.365778N; 76.368889E; 14.325806N; 76.390361E; 14.321250N; 76.391361E; 14.225139N; 76.476528E; 14.222500N; 76.486444E; -14.201389S; 76.483306E; 14.218889N; 76.497750E; 14.209861N; 14.204139N; 76.498778E; 76.501250E; 14.195833N; 76.502250E; 14.185722N; 76.498639E; 14.178750N; 76.499556E; 14.195583N; 76.489667E; 14.186500N; 76.482306E; 76.485694E; 14.176694N; 76.488389E; 14.172167N; 76.488917E; 14.167222N
file3,JSWRenewEnergyNineLtd328MW.pdf,17.583368N; 17.599720N; 76.648426E; 17.603869N; 17.640346N; 76.653780E; 17.644776N; 76.648072E; 17.651103N; 76.647837E; 17.658003N; 76.656929E; 17.655764N; 76.642668E; 17.669722N; 76.629881E; 17.626121N; 76.644406E; 17.620760N; 76.632664E; 17.627057N; 76.632852E; 17.633357N; 76.633710E; 17.638127N; 76.628353E; 17.644176N; 76.626824E; 17.649599N; 17.654344N; 76.617688E; 17.659787N; 76.614014E; 17.665884N; 76.613220E; 17.670474N; 76.607662E; 17.681688N; 76.588683E; 17.676175N; 17.672707N; 17.665627N; 76.592503E; 17.646305N; 76.598532E; 17.642816N; 76.609744E; 76.613164E; 17.564366N; 17.570395N; 76.612692E; 17.584002N; 76.621715E; 17.571594N; 76.628463E; 17.549444N; 76.636450E; 17.548359N; 76.660460E; 17.557786N; 17.591163N; 76.666795E; 17.582374N; 76.678152E; 17.593537N; 76.682005E; 17.598250N; 76.676075E; 17.630978N; 76.665314E; 17.636258N; 76.600592E; 17.632668N; 76.608684E; 17.660281N; 76.566241E; 17.542396N; 76.636387E; 17.554188N; 76.655973E; 17.560681N; 76.655382E; 17.565780N; 76.649654E; 17.571164N; 76.646528E; 17.575751N; 76.641473E; 17.585750N; 76.670006E; 17.588793N; 76.687369E; 17.604912N; 76.683137E; 17.603414N; 76.669113E; 76.658759E; 17.653434N; 76.662985E; 17.661795N; 76.641120E; 17.607586N; 76.633742E; 17.613616N; 76.632232E; 17.611913N; 76.618544E; 17.605244N; 76.611936E; 17.651083N; 76.592099E; 17.626464N; 76.608214E; 17.619657N; 76.599672E; 17.617888N; 76.580396E; 17.624536N; 76.580746E; 17.631091N; 76.584658E; 17.636575N; 76.578062E; 17.604636N; 76.567316E; 17.610708N; 76.565210E; 17.620371N; 76.563522E; 17.625238N; 17.653318N; 76.564645E; 17.605305N; 76.555939E; 17.613401N; 76.552588E; 17.599009N; 76.603062E; 17.571436N; 76.658334E; 17.666733N; 76.564007E; 17.673533N; 76.564461E; 17.680581N; 76.569047E; 17.699891N; 76.563454E; 17.691233N; 17.651246N; 17.583368N; 76.640430E; 17.592726N; 76.643114E; 17.599720N; 76.648426E; 17.603869N; 76.641802E; 17.640346N; 17.644776N; 17.658003N; 76.656929E; 17.651103N; 76.647837E; 17.655764N; 76.642668E; 17.669722N; 17.626121N; 76.644406E; 17.620760N; 76.632664E; 17.627057N; 76.632852E; 17.633357N; 76.633710E; 17.638127N; 76.628353E; 17.644176N; 76.626824E; 17.649599N; 76.622179E; 17.654344N; 76.617688E; 17.659787N; 76.614014E; 17.665884N; 76.613220E; 17.670474N; 76.607662E; 17.681688N; 76.588683E; 17.676175N; 76.589982E; 17.672707N; 76.597577E; 17.665627N; 76.592503E; 17.646305N; 76.598532E; 17.642816N; 76.609744E; 17.636258N; 76.600592E; 17.632668N; 76.608684E; 17.660281N; 76.566241E; 17.557786N; 76.613164E; 17.564366N; 76.614023E; 17.570395N; 76.612692E; 17.584002N; 76.621715E; 17.571594N; 76.628463E; 17.549444N; 76.636450E; 17.542396N; 76.636387E; 17.548359N; 76.660460E; 17.554188N; 76.655973E; 17.560681N; 76.655382E; 17.571164N; 76.646528E; 17.575751N; 76.641473E; 17.591163N; 76.666795E; 17.585750N; 76.670006E; 17.582374N; 76.678152E; 17.588793N; 76.687369E; 17.593537N; 76.682005E; 17.598250N; 76.676075E; 17.604912N; 76.683137E; 17.603414N; 76.669113E; 76.665314E; 17.635479N; 76.658759E; 17.653434N; 76.662985E; 17.661795N; 76.641120E; 17.613616N; 76.632232E; 17.607586N; 76.633742E; 17.611913N; 76.618544E; 17.605244N; 76.611936E; 17.651083N; 76.592099E; 17.626464N; 76.608214E; 17.619657N; 76.599672E; 17.617888N; 76.580396E; 17.624536N; 76.580746E; 17.631091N; 76.584658E; 17.636575N; 76.578062E; 17.604636N; 76.567316E; 17.610708N; 76.565210E; 17.620371N; 76.563522E; 17.625238N; 76.558305E; 17.653318N; 76.564645E; 17.605305N; 76.555939E; 17.613401N; 76.552588E; 17.599009N; 76.603062E; 17.571436N; 76.658334E; 17.666733N; 17.673533N; 76.564461E; 17.680581N; 17.686433N; 76.579571E; 17.699891N; 76.563454E; 17.691233N; 76.556724E; 17.651246N; 76.538501E
wind 5,HexaEnergyKn1PrivateLimited-300MW.pdf,75.946781E; 76.010120E; 75.996846E; 75.979489E; 75.986521E; 76.000938E; 14.796476N; 14.794314N; 14.832532N; 14.823811N; 14.757787N; 14.763524N; 14.764547N; 75.994600E; 76.004359E; 76.013747E; 76.013429E; 14.768106N; 14.755160N; 14.749830N; 14.768460N; 14.776798N; 76.020935E; 14.784234N; 14.792612N; 76.017916E; 14.801261N; 76.016581E; 14.808163N; 76.015237E; 76.000028E; 14.809267N; 76.002618E; 14.816487N; 76.011799E; 14.826746N; 76.017767E; 76.027042E; 76.028406E; 14.805678N; 76.031940E; 14.777897N; 76.045013E; 14.783958N; 76.046744E; 14.776114N; 76.072359E; 76.068898E; 76.027496E; 76.055328E; 14.753892N; 76.054205E; 14.769590N; 76.068168E; 14.762610N; 76.077791E; 14.756607N; 76.082161E; 14.783002N; 75.955864E; 75.959767E; 14.781585N; 75.952923E; 14.774330N; 75.949978E; 14.771325N; 75.936450E; 14.776692N; 75.940257E; 14.781827N; 75.942208E; 14.785629N; 75.944468E; 14.788988N; 75.924481E; 14.788729N; 75.922640E; 14.783539N; 14.771631N; 75.910966E; 14.777250N; 14.746550N; 76.033122E; 14.754276N; 76.011131E; 14.744597N; 14.730266N; 75.962932E; 14.459893N; 75.962173E; 14.452663N; 75.980261E; 14.456253N; 75.975131E; 14.462000N; 75.979962E; 75.989797E; 14.490206N; 75.989149E; 14.476030N; 75.991624E; 14.469146N; 75.994613E; 14.462533N; 75.997821E; 14.485376N; 76.043094E; 14.736304N; 76.077695E; 14.750766N; 14.767750N; 75.933891E; 14.773829N; 75.963314E; 14.789035N; 76.013509E; 14.490507N; 75.998778E; 14.564758N; 14.594213N; 75.977677E; 14.553394N; 75.996166E; 14.532910N; 75.979880E; 14.604579N; 75.960855E; 14.586803N; 75.972728E; 14.594424N; 75.985584E; 14.576376N; 76.026443E; 14.501473N; 76.000222E; 14.526818N; 76.027381E; 75.991193E; 76.043348E; 76.028666E; 14.510612N; 76.017314E; 14.515995N; 76.005951E; 14.542640N; 75.984298E; 14.583469N; 75.988157E; 14.562199N; 76.016028E; 76.012641E; 76.024005E; 75.970964E; 76.026096E; 75.975515E; 75.972931E; 14.524790N; 14.574665N; 14.588842N; 75.999541E; 76.011332E; 75.989445E; 14.549452N; 76.014743E; 14.523080N; 14.530173N; 75.981704E; 14.597330N; 75.974228E; 14.537432N; 14.532359N; 14.599581N
wind 5,HexaEnergyKNIPrivateLimited-200MW.pdf,76.016581E; 14.808163N; 75.960974E; 14.796476N; 76.010120E; 75.996846E; 14.823811N; 75.979489E; 14.757787N; 14.763524N; 76.000938E; 14.764547N; 75.994600E; 14.768106N; 76.004359E; 14.755160N; 76.013747E; 14.760477N; 76.013429E; 14.768460N; 14.776798N; 76.020935E; 14.784234N; 14.801261N; 76.015237E; 76.000028E; 14.812835N; 14.809267N; 14.816487N; 14.826746N; 14.821322N; 14.810991N; 14.805678N; 14.798667N; 14.777897N; 14.783958N; 76.002618E; 76.011799E; 76.017767E; 76.027042E; 76.031940E; 76.034406E; 76.045013E; 76.046744E; 76.072359E; 76.068898E; 76.026973E; 76.027496E; 76.055328E; 14.753892N; 14.776114N; 4.785461N; 14.778592N; 14.737964N; 14.731025N; 76.068168E; 76.077791E; 76.082128E; 75.955864E; 76.068441E; 75.952923E; 75.936450E; 75.940257E; 75.942208E; 75.944468E; 75.909986E; 75.910966E; 76.025253E; 76.011131E; 76.046251E; 14.771351N; 14.762610N; 14.756607N; 14.766045N; 14.773687N; 14.783002N; 14.784624N; 14.781585N; 14.778357N; 14.774330N; 14.771325N; 14.776692N; 14.781827N; 14.785629N; 14.788988N; 14.788729N; 75.922640E; 14.783539N; 14.771631N; 14.777250N; 14.746550N; 14.754276N; 14.744597N; 14.730266N; 14.459893N; 75.980261E; 75.975131E; 14.452663N; 14.456253N; 14.462000N; 75.979962E; 14.482877N; 75.989797E; 14.490206N; 75.989149E; 14.476030N; 75.994613E; 14.469146N; 14.462533N; 14.485376N; 14.736304N; 14.750766N; 75.997821E; 76.043094E; 76.077695E; 75.933891E; 14.767750N; 14.773829N; 76.013509E; 14.789035N; 14.490507N
wind 5,HexaGreenPowerPrivateLimited-200MW.pdf,15.111559N; 15.115220N; 15.105901N; 15.007012N; 15.020639N; 77.128460E; 77.116400E; 15.052705N; 15.048870N; 15.033839N; 15.087728N; 76.972776E; 76.969776E; 77.011921E; 15.102333N; 77.118686E; 77.118197E; 77.110022E; 15.101010N; 15.141200N; 15.148549N; 15.102760N; 76.981795E; 15.027054N; 15.090355N; 76.995333E; 77.107875E; 15.110390N; 77.128531E; 15.092957N; 77.105800E; 15.119529N; 77.118904E; 15.071925N; 77.028473E; 77.084131E; 77.126228E; 15.093350N; 15.095499N; 15.033044N; 15.038104N; 15.125359N; 15.083940N; 15.032191N; 15.132133N; 15.105675N; 15.067818N; 15.102119N; 15.077099N; 15.044803N; 15.058705N; 15.039884N; 15.036366N; 15.132714N; 15.089503N; 15.071535N; 15.156539N; 15.080951N; 15.068885N; 15.126158N; 15.051864N; 77.112082E; 77.104502E; 77.084067E; 77.028426E; 76.965797E; 77.080597E; 77.138241E; 77.085536E; 77.106684E; 77.007396E; 77.093429E; 76.983315E; 76.975786E; 77.129173E; 77.017929E; 77.072077E; 77.103678E; 77.141144E; 76.990846E; 77.096852E; 76.992333E; 77.108673E; 77.022792E; 15.077525N; 15.062889N; 15.039460N; 15.129391N; 15.033817N; 15.044546N; 77.008881E; 15.039034N; 15.148211N; 77.080552E; 77.090988E; 77.019412E; 15.051438N; 77.040487E; 15.044603N; 15.039456N; 15.063841N; 76.993846E; 77.004387E; 76.980306E; 15.065120N; 77.093080E; 15.085094N; 77.043494E; 15.069836N; 77.037488E; 15.082668N; 77.015545E; 15.058547N
wind 5,JSWRenewabieEnergy(Vijayanagar)Ltd-193-8MW.pdf,76.555433E; 14.726007N; 76.570945E; 14.720983N; 14.997755N; 14.897405N; 76.533191E; 14.930828N; 76.592883E; 14.913031N; 76.620041E; 14.906238N; 76.620817E; 14.907813N; 76.634399E; 14.901207N; 76.634368E; 14.825756N; 76.593245E; 14.838494N; 14.858274N; 76.536362E; 14.850696N; 14.794502N; 76.515391E; 14.795249N; 76.530984E; 14.847445N; 76.628444E; 14.833920N; 76.516705E; 76.608949E; 14.843409N; 76.523768E; 14.778456N; 14.769717N; 14.837966N; 76.525412E; 14.808893N; 76.565121E; 76.550495E; 14.821736N; 76.607245E; 14.776231N; 76.593775E; 76.593896E; 76.559104E; 14.767068N; 76.540308E; 76.585883E; 14.804169N; 76.633722E; 14.813210N; 76.614048E; 14.809263N; 76.631735E; 14.836941N; 76.587371E; 76.577269E; 76.526771E; 14.853723N; 76.515384E; 14.803049N; 76.563193E; 76.609795E; 14.803943N; 76.522823E; 14.913576N; 76.633727E; 14.898234N; 76.636725E; 14.887611N; 76.615539E; 14.897961N; 76.662169E; 76.669356E; 76.577025E; 14.974246N; 76.472027E; 76.471944E; 15.002684N; 76.439153E; 14.784451N; 76.654846E; 14.709963N; 76.511342E; 14.719648N; 76.543429E; 14.723696N; 76.687549E; 14.712857N; 76.569578E; 14.998418N; 76.439209E
wind 5,JSWRenewableEnergy(Vijayanagar)Limited-23-1MW.pdf,76.632365E; 14.718995N; 76.629585E; 14.714468N; 76.630759E; 14.722021N; 76.649016E; 14.730427N; 14.725874N; 76.657496E; 14.718032N; 76.663287E
wind 5,SerenticaRenewabiesIndia20PrivateLtmited-300MW.pdf,-14.701936S
wind 5,SerenticaRenewabiesIndia23MWPrivateLimited-231MW.pdf,-76.039833S; -76.024194W; -76.084722S
wind 5,SerenticaRenewablesIndia22Privatelimitd-90MW.pdf,-76.115889S
wind 5,ShubhWindPowerPrivateLimited-90-2MW(19-8MWWind+70-4MWSolar).pdf,76.465844E; 14.754516N; 76.501422E; 14.759093N; 76.499485E; 14.733337N; 14.763756N; 76.509353E; 14.733229N; 76.500041E; 14.741031N; 76.508231E; 14.758242N; 14.701066N; 14.716531N; 76.487756E; 6.476680E; 14.732009N; 14.738701N; 76.520082E; 76.518060E; 76.534016E; 76.534877E; 14.755014N; 14.712878N; 14.722124N; 14.718487N; 76.536954E; 76.499419E; 76.483289E; 76.466483E; 14.727334N; 14.742385N; 14.781153N; 14.775240N; 14.754354N; 76.486079E; 76.370564E; 76.373918E; 76.376397E; 714.836556N; 76.474833E; 14.836083N; 176.483222E; 14.837639N; 76.482861E; 76.480750E; 14.837750N; 76.473889E; 14.836389N; 76.472500E; 14.853333N; 76.436806E; 14.855389N; 44.861417N; 76.438500E
